xx,yy,zz,label,correlation
44.9225,37.0813,12.3546,Stroke,0.701920972
44.5885,39.9949,12.7469,Stroke,0.6911824
45.4212,38.928,14.2974,Stroke,0.682937061
45.1213,37.8001,12.8932,Stroke,0.677672432
45.5083,34.8326,13.2709,Stroke,0.717582761
50.5833,34.7645,13.8436,Stroke,0.652380622
44.994,35.9695,12.1113,Stroke,0.668400361
45.6386,37.1884,13.516,Stroke,0.693909167
49.1865,32.3776,13.2691,Stroke,0.686102111
44.8552,37.7455,13.1161,Stroke,0.654795922
42.6922,44.8631,13.5927,Stroke,0.671827828
45.249,37.166,13.519,Stroke,0.675458539
44.0562,40.8776,12.5009,Stroke,0.677950252
44.9412,39.1932,13.2892,Stroke,0.661017147
46.4947,35.4833,13.5951,Stroke,0.676084653
42.801,41.4699,13.1086,Stroke,0.676119477
46.1364,33.4961,12.7813,Stroke,0.656805733
43.0004,42.7395,13.722,Stroke,0.631258619
44.2695,35.2423,12.9206,Stroke,0.678960528
41.7878,43.5861,14.1287,Stroke,0.678839262
45.4087,36.8954,13.2143,Stroke,0.674364611
44.1594,40.4247,12.7656,Stroke,0.657892583
38.7229,49.4782,11.9191,Stroke,0.696478944
47.9469,34.8107,13.4258,Stroke,0.675008306
45.7551,38.0718,13.2772,Stroke,0.704313814
44.3892,39.0384,14.3501,Stroke,0.669733589
43.6985,42.525,12.7314,Stroke,0.662570961
49.9039,35.114,13.056,Stroke,0.661084433
51.7273,27.0317,12.0769,Stroke,0.661090956
51.1238,33.3943,15.1042,Stroke,0.6725105
50.642,32.9002,14.3865,Stroke,0.663402778
48.9728,32.4879,11.8863,Stroke,0.659199205
49.2907,31.6247,15.8995,Stroke,0.642875144
44.6161,40.5401,13.1501,Stroke,0.666481539
48.3585,33.0072,14.5458,Stroke,0.650673128
43.2298,38.3792,12.4219,Stroke,0.642369183
47.2924,34.8148,14.8463,Stroke,0.681913344
44.4648,38.1792,12.4283,Stroke,0.661155078
46.9004,39.1657,9.81933,Stroke,0.683686911
57.652,14.0519,11.3427,Stroke,0.648913572
50.9034,29.133,14.7886,Stroke,0.660544478
52.3157,25.8857,14.4245,Stroke,0.651592783
44.1985,38.963,12.5739,Stroke,0.660837783
48.0911,29.6003,13.2746,Stroke,0.655966944
44.7973,37.0398,12.3005,Stroke,0.681751839
26.3061,28.3414,9.01292,Stroke,0.6903985
26.0156,30.5962,13.148,Stroke,0.706798144
23.626,26.4622,6.45587,Stroke,0.600294606
25.8042,27.2074,8.75628,Stroke,0.675317922
25.5657,23.4031,10.5006,Stroke,0.692398933
25.7885,28.1949,7.99768,Stroke,0.660523306
25.7016,27.8421,9.30008,Stroke,0.674477072
23.1915,28.7163,6.47329,Stroke,0.640903228
24.4161,28.1093,7.45184,Stroke,0.6643565
26.9884,26.0202,8.5036,Stroke,0.661711056
23.9764,34.2654,9.25568,Stroke,0.676438167
24.5178,29.3946,8.50856,Stroke,0.6870545
25.0921,28.0207,6.71158,Stroke,0.651658389
24.7833,24.6439,7.54651,Stroke,0.642951722
24.1356,33.3673,6.85602,Stroke,0.699036389
19.6043,40.7561,4.81737,Stroke,0.692192
19.8928,37.5797,2.38116,Stroke,0.713742278
24.5715,27.0855,7.25955,Stroke,0.698706278
20.3372,36.1995,8.16323,Stroke,0.704345056
16.8599,36.5641,2.52059,Stroke,0.703113651
20.6453,30.9853,1.7806,Stroke,0.663701757
14.3725,36.8318,2.34319,Stroke,0.660215172
25.8279,27.4396,7.51892,Stroke,0.655833561
22.7209,36.3413,6.05882,Stroke,0.698979444
17.033,38.8234,3.34301,Stroke,0.699048444
24.1989,33.0327,10.4876,Stroke,0.676142691
22.5149,33.4743,7.9112,Stroke,0.6956323
26.4871,28.0721,9.45443,Stroke,0.7044344
25.6483,26.9558,9.85893,Stroke,0.709241889
27.1708,27.5194,10.1839,Stroke,0.683311667
25.8393,31.4647,7.42725,Stroke,0.684490666
26.8368,26.6014,6.50944,Stroke,0.64044105
26.4198,26.9584,8.93549,Stroke,0.635902094
25.7569,28.9619,9.1009,Stroke,0.686327217
26.4811,25.7115,9.12965,Stroke,0.658418722
26.2256,30.3966,10.0722,Stroke,0.6682068
23.6621,27.0637,3.56136,Stroke,0.699390222
26.3883,27.9074,11.3273,Stroke,0.660961199
28.3512,25.7143,14.0887,Stroke,0.697853639
23.3821,35.5021,6.23413,Stroke,0.653908667
27.5221,24.8235,12.574,Stroke,0.720541944
27.0477,26.1448,10.5526,Stroke,0.701391833
27.0467,25.4258,10.0383,Stroke,0.678277661
25.2632,31.2747,8.47329,Stroke,0.697617111
27.4221,24.4287,11.8795,Stroke,0.705139
26.2594,25.4579,10.0794,Stroke,0.698664433
27.4613,29.6116,8.35988,Stroke,0.677933183
26.1283,24.8696,9.39797,Stroke,0.703250389
28.0158,26.045,7.37855,Stroke,0.648562494
26.2636,30.6212,8.68125,Stroke,0.690257667
23.9186,30.2911,4.69087,Stroke,0.621913783
27.2822,22.6818,10.7431,Stroke,0.674369339
25.3417,31.84,7.68781,Stroke,0.689984744
26.0829,23.9408,9.33075,Stroke,0.702833444
26.9131,23.4301,12.5161,Stroke,0.672078606
27.7933,26.1525,11.0643,Stroke,0.683323711
27.9871,21.6501,10.6766,Stroke,0.6927446
31.6836,18.7603,13.5446,Stroke,0.613803839
16.4372,44.0145,-0.983642,Stroke,0.633492011
11.1191,45.2522,-4.81501,Stroke,0.612511167
22.4962,31.4562,10.2971,Stroke,0.698743722
29.8325,20.2602,12.821,Stroke,0.706184772
27.3104,21.6093,10.4926,Stroke,0.695368833
27.9246,22.0693,9.60371,Stroke,0.68633025
25.0823,30.1749,7.14491,Stroke,0.665921412
27.7285,27.2131,9.04268,Stroke,0.675861222
27.0786,21.9543,11.7365,Stroke,0.666372006
24.4667,30.7391,6.56738,Stroke,0.656796878
26.4626,28.8363,7.90358,Stroke,0.665279639
28.3818,27.0416,9.94324,Stroke,0.662324956
23.3772,33.3622,5.44268,Stroke,0.685224472
21.5448,31.2795,5.52599,Stroke,0.678846639
23.5179,32.673,8.78817,Stroke,0.665805556
28.0222,24.0783,13.0685,Stroke,0.642887722
25.154,-3.97513,-22.8289,Stroke,0.536813022
21.5361,4.21517,-26.7497,Stroke,0.411073139
16.8123,13.3454,-20.813,Stroke,0.637198517
13.3845,32.3963,-10.2908,Stroke,0.636657833
13.7245,15.7485,-19.6174,Stroke,0.635301222
18.2709,43.1738,-1.27446,Stroke,0.640577967
18.5328,42.2438,-1.77848,Stroke,0.651249761
18.9268,40.7444,0.260159,Stroke,0.648501611
18.5096,43.7243,1.27075,Stroke,0.6429066
22.3557,38.1557,5.55938,Stroke,0.681109428
27.1613,33.513,8.33839,Stroke,0.658329483
27.9535,29.4465,8.7944,Stroke,0.651422222
27.9256,30.6877,9.73031,Stroke,0.666047389
27.4592,27.146,6.06685,Stroke,0.640960783
29.3249,28.3193,9.35648,Stroke,0.664827111
24.7592,34.873,5.90587,Stroke,0.645443594
24.4219,36.9229,8.31077,Stroke,0.615883917
19.8178,43.2746,2.45692,Stroke,0.602176756
24.7838,32.5716,8.02591,Stroke,0.628833111
18.2477,40.735,1.23175,Stroke,0.616692722
23.5397,37.4739,3.85789,Stroke,0.669926722
21.004,41.0521,2.11302,Stroke,0.642248111
20.2783,40.2756,2.96806,Stroke,0.670031889
22.0465,38.5998,4.83879,Stroke,0.688114067
23.999,35.0655,5.0226,Stroke,0.645605889
21.9477,42.9002,1.13272,Stroke,0.646897094
22.2968,42.8439,-0.547155,Stroke,0.645965111
18.4149,44.5254,-2.09572,Stroke,0.617846922
14.3605,44.5154,-3.40791,Stroke,0.666568917
15.4612,45.6964,-1.80946,Stroke,0.656320778
17.9224,45.4033,0.849598,Stroke,0.673514833
21.4621,39.5449,3.21978,Stroke,0.64834
19.7052,40.3417,-0.643892,Stroke,0.667265389
12.2166,30.0925,-15.0163,Stroke,0.642316778
21.8794,38.8608,4.52445,Stroke,0.693780944
20.1837,41.8242,5.09242,Stroke,0.685701056
18.6529,40.1523,-0.340056,Stroke,0.649871833
16.5606,48.1093,1.17215,Stroke,0.662433244
22.4754,37.083,6.48694,Stroke,0.677794111
18.4565,41.6101,2.65559,Stroke,0.655146722
18.2309,43.9441,0.219485,Stroke,0.673152111
22.6153,38.4252,3.06378,Stroke,0.633153556
15.4725,41.9617,-2.45727,Stroke,0.640789994
18.7298,44.3616,-0.998365,Stroke,0.61930975
16.8369,43.1272,-0.277453,Stroke,0.651422222
21.4537,41.108,4.88781,Stroke,0.677796111
21.5679,41.5836,1.79883,Stroke,0.663115722
18.7901,45.4031,5.13423,Stroke,0.685655833
22.8183,39.8503,3.72459,Stroke,0.687835667
19.376,41.014,-0.821982,Stroke,0.650086944
19.5192,43.6756,0.154707,Stroke,0.660559389
16.1093,44.0083,-2.86985,Stroke,0.671788611
18.3553,45.8441,1.44608,Stroke,0.647364244
20.8638,42.2564,-0.240068,Stroke,0.629210722
17.5078,41.2555,-3.1357,Stroke,0.688705167
17.8683,38.1439,-5.94907,Stroke,0.684861889
11.4856,42.5292,-7.34794,Stroke,0.670712222
21.6873,38.4845,0.875833,Stroke,0.622117167
19.3042,42.5593,-0.131549,Stroke,0.657843622
14.0098,42.9894,-2.29668,Stroke,0.668895611
21.0358,41.0233,1.16991,Stroke,0.616845833
11.042,37.4417,-8.66042,Stroke,0.695061722
19.1854,39.4501,1.26341,Stroke,0.646531706
24.0581,33.9129,0.717619,Stroke,0.548485
15.9585,43.011,-3.73183,Stroke,0.636993711
23.6977,33.1445,3.81604,Stroke,0.582136889
15.5914,36.8201,-7.43688,Stroke,0.650525056
21.901,36.2136,6.46907,Stroke,0.628064333
22.4893,36.5565,6.47886,Stroke,0.685135778
18.2575,43.064,-0.760686,Stroke,0.674433722
17.3252,43.2755,-1.10544,Stroke,0.662398744
21.1579,41.3887,6.18941,Stroke,0.720196333
19.2897,42.4844,4.28907,Stroke,0.652597189
21.3221,37.3521,5.85928,Stroke,0.665832889
21.5034,39.234,4.0296,Stroke,0.642542778
11.8986,21.5678,-15.892,Stroke,0.664971056
20.4601,40.1087,4.28167,Stroke,0.595743794
26.2754,9.27479,-12.8265,Stroke,0.535852633
