colors1,colors2,colors3
0.580869565,1,0.419130435
0.549565217,1,0.450434783
0,0.810434783,1
0,0,0.500869565
0,0.951304348,1
1,0.850434783,0
1,0.746086957,0
1,0.789565217,0
1,0.794782609,0
1,0.744347826,0
1,0.791304348,0
1,0.914782609,0
1,0.756521739,0
1,0.706086957,0
1,0.725217391,0
1,0.780869565,0
1,0.787826087,0
1,0.779130435,0
1,0.733913043,0
1,0.772173913,0
1,0.775652174,0
1,0.768695652,0
1,0.815652174,0
1,0.780869565,0
1,0.773913043,0
1,0.791304348,0
1,0.772173913,0
1,0.725217391,0
1,0.746086957,0
1,0.794782609,0
1,0.739130435,0
1,0.695652174,0
1,0.866086957,0
1,0.787826087,0
1,0.68,0
1,0.784347826,0
1,0.72173913,0
1,0.622608696,0
1,0.650434783,0
1,0.68173913,0
1,0.808695652,0
1,0.954782609,0
1,0.735652174,0
1,0.673043478,0
1,0.813913043,0
1,0.766956522,0
1,0.666086957,0
1,0.815652174,0
1,0.796521739,0
1,0.72173913,0
1,0.819130435,0
